Mouse.Gene,Human.Gene,Uniprot ID,Protein Name,Protein Description,TurboID avg abundance,tdT avg abundance,Differentially Expressed?,logFC (TurboID vs. tdT),P.Value (TurboID vs. tdT),adj.P.Value (TurboID vs. tdT)
Tank,TANK,P70347,TANK_MOUSE,TRAF family member-associated NF-kappa-B activator,38047,5726,TurboID enriched,11.01,0.002750,0.019392
Synj1,SYNJ1,Q8CHC4,SYNJ1_MOUSE,Synaptojanin-1,152875,109705,TurboID enriched,0.49,0.002796,0.019683
Paics,PAICS,Q9DCL9,PUR6_MOUSE,Multifunctional protein ADE2,41565,20852,TurboID enriched,0.96,0.002802,0.019698
Dpp10,DPP10,Q6NXK7,DPP10_MOUSE,Inactive dipeptidyl peptidase 10,113592,74289,TurboID enriched,0.63,0.002808,0.019708
Dennd11,NA,Q3UHG7,DEN11_MOUSE,DENN domain-containing protein 11,8082,4305,TurboID enriched,0.90,0.002819,0.019755
Ap1s2,AP1S2,Q9DB50,AP1S2_MOUSE,AP-1 complex subunit sigma-2,66949,40919,TurboID enriched,0.71,0.002858,0.020004
Stat3,STAT3,P42227,STAT3_MOUSE,Signal transducer and activator of transcription 3,5151,2795,TurboID enriched,0.92,0.002899,0.020249
Nap1l4,NAP1L4,Q78ZA7,NP1L4_MOUSE,Nucleosome assembly protein 1-like 4,31779,11412,TurboID enriched,1.40,0.002902,0.020249
Ap1s1,AP1S1,P61967,AP1S1_MOUSE,AP-1 complex subunit sigma-1A,28719,20321,TurboID enriched,0.51,0.002906,0.020249
Eml2,EML2,Q7TNG5,EMAL2_MOUSE,Echinoderm microtubule-associated protein-like 2,16757,10171,TurboID enriched,0.72,0.002912,0.020257
Slc7a6os,SLC7A6OS,Q7TPE5,S7A6O_MOUSE,Probable RNA polymerase II nuclear localization protein SLC7A6OS,2767,600,TurboID enriched,8.20,0.002917,0.020264
Zwint,ZWINT,Q9CQU5,ZWINT_MOUSE,ZW10 interactor,8267,4760,TurboID enriched,0.85,0.002936,0.020311
Vps39,VPS39,Q8R5L3,VPS39_MOUSE,Vam6/Vps39-like protein,7347,4717,TurboID enriched,0.65,0.002936,0.020311
Ccdc22,CCDC22,Q9JIG7,CCD22_MOUSE,Coiled-coil domain-containing protein 22,6210,3526,TurboID enriched,0.87,0.002943,0.020311
Hdac11,HDAC11,Q91WA3,HDA11_MOUSE,Histone deacetylase 11,8841,6282,TurboID enriched,0.50,0.002944,0.020311
Slc2a1,SLC2A1,P17809,GTR1_MOUSE,"Solute carrier family 2, facilitated glucose transporter member 1",154369,77430,TurboID enriched,0.98,0.002950,0.020311
Mctp1,MCTP1,E9PV86,MCTP1_MOUSE,Multiple C2 and transmembrane domain-containing protein 1,3222,2321,TurboID enriched,0.48,0.002950,0.020311
Mtch2,MTCH2,Q791V5,MTCH2_MOUSE,Mitochondrial carrier homolog 2,164273,109546,TurboID enriched,0.61,0.002966,0.020393
Tbc1d22a,TBC1D22A,Q8R5A6,TB22A_MOUSE,TBC1 domain family member 22A,3045,1353,TurboID enriched,1.21,0.002975,0.020409
Cpne2,CPNE2,P59108,CPNE2_MOUSE,Copine-2,4125,2484,TurboID enriched,0.74,0.002978,0.020409
Trip4,TRIP4,Q9QXN3,TRIP4_MOUSE,Activating signal cointegrator 1,5295,1209,TurboID enriched,8.91,0.002982,0.020409
Nck2,NCK2,O55033,NCK2_MOUSE,Cytoplasmic protein NCK2,8214,4624,TurboID enriched,0.80,0.002998,0.020443
Gpaa1,GPAA1,Q9WTK3,GPAA1_MOUSE,Glycosylphosphatidylinositol anchor attachment 1 protein,8446,5286,TurboID enriched,0.68,0.003000,0.020443
Cbl,CBL,P22682,CBL_MOUSE,E3 ubiquitin-protein ligase CBL,6942,3797,TurboID enriched,0.92,0.003005,0.020447
Coro1c,CORO1C,Q9WUM4,COR1C_MOUSE,Coronin-1C,44916,31661,TurboID enriched,0.52,0.003019,0.020462
Dym,DYM,Q8CHY3,DYM_MOUSE,Dymeclin,1461,425,TurboID enriched,7.58,0.003020,0.020462
Ddx19a,DDX19A,Q61655,DD19A_MOUSE,ATP-dependent RNA helicase DDX19A,11546,6999,TurboID enriched,0.74,0.003020,0.020462
Ppp6r2,PPP6R2,Q8R3Q2,PP6R2_MOUSE,Serine/threonine-protein phosphatase 6 regulatory subunit 2,11107,6094,TurboID enriched,0.88,0.003027,0.020476
Ifngr1,IFNGR1,P15261,INGR1_MOUSE,Interferon gamma receptor 1,13559,2670,TurboID enriched,9.88,0.003045,0.020544
Atxn2,ATXN2,O70305,ATX2_MOUSE,Ataxin-2,8429,4469,TurboID enriched,0.92,0.003067,0.020641
Stk24,STK24,Q99KH8,STK24_MOUSE,Serine/threonine-protein kinase 24,6101,4020,TurboID enriched,0.59,0.003069,0.020641
Ano8,ANO8,Q6PB70,ANO8_MOUSE,Anoctamin-8,4997,2813,TurboID enriched,0.85,0.003073,0.020641
Sec23ip,SEC23IP,Q6NZC7,S23IP_MOUSE,SEC23-interacting protein,12387,7762,TurboID enriched,0.69,0.003091,0.020730
Nedd4,NEDD4,P46935,NEDD4_MOUSE,E3 ubiquitin-protein ligase NEDD4,11607,8359,TurboID enriched,0.48,0.003111,0.020805
Rundc3a,RUNDC3A,O08576,RUN3A_MOUSE,RUN domain-containing protein 3A,24707,9695,TurboID enriched,1.34,0.003115,0.020805
Serinc3,SERINC3,Q9QZI9,SERC3_MOUSE,Serine incorporator 3,3735,1776,TurboID enriched,1.10,0.003122,0.020805
Cdv3,CDV3,Q4VAA2,CDV3_MOUSE,Protein CDV3,39538,6561,TurboID enriched,10.96,0.003124,0.020805
Tmem106b,TMEM106B,Q80X71,T106B_MOUSE,Transmembrane protein 106B,4225,2588,TurboID enriched,0.73,0.003141,0.020834
Tmem165,TMEM165,P52875,TM165_MOUSE,Transmembrane protein 165,8013,4848,TurboID enriched,0.75,0.003142,0.020834
Plppr1,PLPPR1,Q8BFZ2,PLPR1_MOUSE,Phospholipid phosphatase-related protein type 1,7410,3736,TurboID enriched,1.04,0.003150,0.020857
Nek7,NEK7,Q9ES74,NEK7_MOUSE,Serine/threonine-protein kinase Nek7,8294,2715,TurboID enriched,1.54,0.003163,0.020915
Stxbp5l,STXBP5L,Q5DQR4,STB5L_MOUSE,Syntaxin-binding protein 5-like,35861,25130,TurboID enriched,0.53,0.003180,0.020998
Gstm5,GSTM3,P48774,GSTM5_MOUSE,Glutathione S-transferase Mu 5,72352,48254,TurboID enriched,0.59,0.003224,0.021206
Cdc123,CDC123,Q8CII2,CD123_MOUSE,Cell division cycle protein 123 homolog,7591,1666,TurboID enriched,9.23,0.003227,0.021206
Eif2s2,EIF2S2,Q99L45,IF2B_MOUSE,Eukaryotic translation initiation factor 2 subunit 2,6070,4113,TurboID enriched,0.55,0.003228,0.021206
C2cd4c,C2CD4C,Q5HZI2,C2C4C_MOUSE,C2 calcium-dependent domain-containing protein 4C,11043,4267,TurboID enriched,1.37,0.003233,0.021206
Mt-Cyb,NA,P00158,CYB_MOUSE,Cytochrome b,10908,4992,TurboID enriched,1.20,0.003238,0.021206
Cntn4,CNTN4,Q69Z26,CNTN4_MOUSE,Contactin-4,6489,4092,TurboID enriched,0.67,0.003241,0.021206
Hcn2,HCN2,O88703,HCN2_MOUSE,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2,16151,11348,TurboID enriched,0.51,0.003249,0.021206
Yif1b,YIF1B,Q9CX30,YIF1B_MOUSE,Protein YIF1B,3134,1595,TurboID enriched,1.02,0.003251,0.021206
Slc7a1,SLC7A1,Q09143,SL7A1_MOUSE,High affinity cationic amino acid transporter 1,4388,2344,TurboID enriched,0.96,0.003253,0.021206
Slc30a9,SLC30A9,Q5IRJ6,ZNT9_MOUSE,Zinc transporter 9,17332,9902,TurboID enriched,0.85,0.003262,0.021237
Phyhip,PHYHIP,Q8K0S0,PHYIP_MOUSE,Phytanoyl-CoA hydroxylase-interacting protein,187616,131661,TurboID enriched,0.52,0.003284,0.021349
Slc25a16,SLC25A16,Q8C0K5,GDC_MOUSE,Graves disease carrier protein homolog,6566,3996,TurboID enriched,0.74,0.003289,0.021352
Mfn1,MFN1,Q811U4,MFN1_MOUSE,Mitofusin-1,4994,3528,TurboID enriched,0.51,0.003309,0.021455
Fcho2,FCHO2,Q3UQN2,FCHO2_MOUSE,F-BAR domain only protein 2,6159,1533,TurboID enriched,9.02,0.003347,0.021643
Psd,PSD,Q5DTT2,PSD1_MOUSE,PH and SEC7 domain-containing protein 1,15050,9659,TurboID enriched,0.65,0.003347,0.021643
Slc44a1,SLC44A1,Q6X893,CTL1_MOUSE,Choline transporter-like protein 1,49527,28658,TurboID enriched,0.80,0.003365,0.021696
Fhl1,FHL1,P97447,FHL1_MOUSE,Four and a half LIM domains protein 1,24287,8520,TurboID enriched,1.42,0.003388,0.021782
Ankrd28,ANKRD28,Q505D1,ANR28_MOUSE,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A,8390,4382,TurboID enriched,0.90,0.003410,0.021894
Fbxo4,FBXO4,Q8CHQ0,FBX4_MOUSE,F-box only protein 4,5260,1312,TurboID enriched,8.83,0.003421,0.021916
Arpp21,ARPP21,Q9DCB4,ARP21_MOUSE,cAMP-regulated phosphoprotein 21,1688,1116,TurboID enriched,0.60,0.003426,0.021916
Kcnj3,KCNJ3,P63250,KCNJ3_MOUSE,G protein-activated inward rectifier potassium channel 1,22180,13124,TurboID enriched,0.80,0.003427,0.021916
Rab33b,RAB33B,O35963,RB33B_MOUSE,Ras-related protein Rab-33B,253767,166658,TurboID enriched,0.59,0.003445,0.021943
Erc1,ERC1,Q99MI1,RB6I2_MOUSE,ELKS/Rab6-interacting/CAST family member 1,4025,2333,TurboID enriched,0.80,0.003448,0.021943
Ppp1r12b,PPP1R12B,Q8BG95,MYPT2_MOUSE,Protein phosphatase 1 regulatory subunit 12B,3258,924,TurboID enriched,8.36,0.003449,0.021943
Pip4p1,NA,Q3TWL2,PP4P1_MOUSE,"Type 1 phosphatidylinositol 4,5-bisphosphate 4-phosphatase",4588,3175,TurboID enriched,0.53,0.003450,0.021943
Slc20a2,SLC20A2,Q80UP8,S20A2_MOUSE,Sodium-dependent phosphate transporter 2,5623,2951,TurboID enriched,1.00,0.003459,0.021970
Egln1,EGLN1,Q91YE3,EGLN1_MOUSE,Egl nine homolog 1,6040,1548,TurboID enriched,8.98,0.003470,0.021994
Tom1l1,TOM1L1,Q923U0,TM1L1_MOUSE,TOM1-like protein 1,5740,1484,TurboID enriched,8.93,0.003472,0.021994
Gatb,GATB,Q99JT1,GATB_MOUSE,"Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial",3465,1774,TurboID enriched,1.05,0.003497,0.022117
Nudt2,NUDT2,P56380,AP4A_MOUSE,Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical],27189,11326,TurboID enriched,1.19,0.003506,0.022146
Tmem175,TMEM175,Q9CXY1,TM175_MOUSE,Endosomal/lysosomal potassium channel TMEM175,3677,2109,TurboID enriched,0.79,0.003523,0.022175
Rab24,RAB24,P35290,RAB24_MOUSE,Ras-related protein Rab-24,12253,8910,TurboID enriched,0.46,0.003525,0.022175
Gabra3,GABRA3,P26049,GBRA3_MOUSE,Gamma-aminobutyric acid receptor subunit alpha-3,17997,10946,TurboID enriched,0.73,0.003540,0.022238
Plin4,PLIN4,O88492,PLIN4_MOUSE,Perilipin-4,31861,9440,TurboID enriched,1.62,0.003557,0.022290
Nr3c1,NR3C1,P06537,GCR_MOUSE,Glucocorticoid receptor,9230,2296,TurboID enriched,9.41,0.003557,0.022290
Stum,STUM,Q0VBF8,STUM_MOUSE,Protein stum homolog,52590,31404,TurboID enriched,0.73,0.003571,0.022346
Dnajc6,DNAJC6,Q80TZ3,AUXI_MOUSE,Putative tyrosine-protein phosphatase auxilin,98371,68806,TurboID enriched,0.53,0.003592,0.022439
Ppm1b,PPM1B,P36993,PPM1B_MOUSE,Protein phosphatase 1B,19357,9081,TurboID enriched,1.11,0.003596,0.022439
Stox2,STOX2,Q499E5,STOX2_MOUSE,Storkhead-box protein 2,4632,1321,TurboID enriched,8.70,0.003612,0.022507
Scfd2,SCFD2,Q8BTY8,SCFD2_MOUSE,Sec1 family domain-containing protein 2,6536,3285,TurboID enriched,1.04,0.003616,0.022507
Coro2a,CORO2A,Q8C0P5,COR2A_MOUSE,Coronin-2A,19099,13472,TurboID enriched,0.51,0.003629,0.022543
Tiprl,TIPRL,Q8BH58,TIPRL_MOUSE,TIP41-like protein,18425,8851,TurboID enriched,1.00,0.003632,0.022543
Coro2b,CORO2B,Q8BH44,COR2B_MOUSE,Coronin-2B,39348,25068,TurboID enriched,0.68,0.003640,0.022563
Mrtfb,NA,P59759,MRTFB_MOUSE,Myocardin-related transcription factor B,5716,4098,TurboID enriched,0.48,0.003650,0.022599
Stau1,STAU1,Q9Z108,STAU1_MOUSE,Double-stranded RNA-binding protein Staufen homolog 1,10738,2590,TurboID enriched,9.54,0.003656,0.022607
Nup160,NUP160,Q9Z0W3,NU160_MOUSE,Nuclear pore complex protein Nup160,5189,3660,TurboID enriched,0.50,0.003668,0.022648
Rab3gap2,RAB3GAP2,Q8BMG7,RBGPR_MOUSE,Rab3 GTPase-activating protein non-catalytic subunit,23361,15223,TurboID enriched,0.64,0.003676,0.022665
Vps26b,VPS26B,Q8C0E2,VP26B_MOUSE,Vacuolar protein sorting-associated protein 26B,35449,22526,TurboID enriched,0.69,0.003685,0.022681
Tmem121b,TMEM121B,Q99MX7,T121B_MOUSE,Transmembrane protein 121B,6789,4583,TurboID enriched,0.56,0.003688,0.022681
Lims1,LIMS1,Q99JW4,LIMS1_MOUSE,LIM and senescent cell antigen-like-containing domain protein 1,5490,3004,TurboID enriched,0.87,0.003696,0.022704
Tdrd3,TDRD3,Q91W18,TDRD3_MOUSE,Tudor domain-containing protein 3,3467,1038,TurboID enriched,8.39,0.003718,0.022808
Trp53i11,TP53I11,Q4QQM4,P5I11_MOUSE,Tumor protein p53-inducible protein 11,35333,20531,TurboID enriched,0.83,0.003728,0.022840
Reep1,REEP1,Q8BGH4,REEP1_MOUSE,Receptor expression-enhancing protein 1,26974,14311,TurboID enriched,0.92,0.003740,0.022864
Maoa,MAOA,Q64133,AOFA_MOUSE,Amine oxidase [flavin-containing] A,43256,28104,TurboID enriched,0.64,0.003742,0.022864
Ranbp3,RANBP3,Q9CT10,RANB3_MOUSE,Ran-binding protein 3,6775,4214,TurboID enriched,0.68,0.003756,0.022920
Cttnbp2nl,CTTNBP2NL,Q99LJ0,CT2NL_MOUSE,CTTNBP2 N-terminal-like protein,4874,1398,TurboID enriched,8.72,0.003785,0.023067
Pik3ca,PIK3CA,P42337,PK3CA_MOUSE,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",6546,3860,TurboID enriched,0.74,0.003790,0.023068
Smap2,SMAP2,Q7TN29,SMAP2_MOUSE,Stromal membrane-associated protein 2,29501,15764,TurboID enriched,0.87,0.003796,0.023075
Tgs1,TGS1,Q923W1,TGS1_MOUSE,Trimethylguanosine synthase,2643,832,TurboID enriched,8.09,0.003815,0.023157
Mvb12a,MVB12A,Q78HU3,MB12A_MOUSE,Multivesicular body subunit 12A,2371,732,TurboID enriched,7.96,0.003836,0.023222
Osbpl6,OSBPL6,Q8BXR9,OSBL6_MOUSE,Oxysterol-binding protein-related protein 6,6449,4102,TurboID enriched,0.67,0.003848,0.023268
Cdk17,CDK17,Q8K0D0,CDK17_MOUSE,Cyclin-dependent kinase 17,4314,3061,TurboID enriched,0.50,0.003855,0.023278
Xab2,XAB2,Q9DCD2,SYF1_MOUSE,Pre-mRNA-splicing factor SYF1,7057,2037,TurboID enriched,9.11,0.003863,0.023300
Rragb,RRAGB,Q6NTA4,RRAGB_MOUSE,Ras-related GTP-binding protein B,3976,2243,TurboID enriched,0.88,0.003875,0.023339
Itprid2,NA,Q922B9,ITPI2_MOUSE,Protein ITPRID2,9645,2583,TurboID enriched,9.41,0.003883,0.023358
Fzd2,FZD2,Q9JIP6,FZD2_MOUSE,Frizzled-2,4590,2993,TurboID enriched,0.61,0.003913,0.023463
Nup133,NUP133,Q8R0G9,NU133_MOUSE,Nuclear pore complex protein Nup133,6337,4792,TurboID enriched,0.41,0.003915,0.023463
Lima1,LIMA1,Q9ERG0,LIMA1_MOUSE,LIM domain and actin-binding protein 1,17563,4426,TurboID enriched,10.02,0.003925,0.023490
Grid1,GRID1,Q61627,GRID1_MOUSE,"Glutamate receptor ionotropic, delta-1",7112,3832,TurboID enriched,0.96,0.003941,0.023555
Pom121,POM121,Q8K3Z9,PO121_MOUSE,Nuclear envelope pore membrane protein POM 121,4966,1551,TurboID enriched,8.74,0.003949,0.023572
Abr,ABR,Q5SSL4,ABR_MOUSE,Active breakpoint cluster region-related protein,72453,42181,TurboID enriched,0.77,0.003967,0.023647
Sdc4,SDC4,O35988,SDC4_MOUSE,Syndecan-4,2907,959,TurboID enriched,8.18,0.003983,0.023661
C2cd5,C2CD5,Q7TPS5,C2CD5_MOUSE,C2 domain-containing protein 5,8935,4566,TurboID enriched,1.06,0.003986,0.023661
Rab2a,RAB2A,P53994,RAB2A_MOUSE,Ras-related protein Rab-2A,94624,61434,TurboID enriched,0.64,0.003987,0.023661
Dpp9,DPP9,Q8BVG4,DPP9_MOUSE,Dipeptidyl peptidase 9,11176,7953,TurboID enriched,0.51,0.003989,0.023661
Gria1,GRIA1,P23818,GRIA1_MOUSE,Glutamate receptor 1,26537,18648,TurboID enriched,0.53,0.003997,0.023675
Usp10,USP10,P52479,UBP10_MOUSE,Ubiquitin carboxyl-terminal hydrolase 10,6663,4159,TurboID enriched,0.72,0.004008,0.023714
Atp1b2,ATP1B2,P14231,AT1B2_MOUSE,Sodium/potassium-transporting ATPase subunit beta-2,53620,35881,TurboID enriched,0.58,0.004027,0.023795
Zer1,ZER1,Q80ZJ6,ZER1_MOUSE,Protein zer-1 homolog,5061,3620,TurboID enriched,0.50,0.004033,0.023801
Phkb,PHKB,Q7TSH2,KPBB_MOUSE,Phosphorylase b kinase regulatory subunit beta,17112,11680,TurboID enriched,0.55,0.004130,0.024167
Hdac6,HDAC6,Q9Z2V5,HDAC6_MOUSE,Histone deacetylase 6,9977,6512,TurboID enriched,0.64,0.004132,0.024167
Saraf,SARAF,Q8R3Q0,SARAF_MOUSE,Store-operated calcium entry-associated regulatory factor,4077,1304,TurboID enriched,8.50,0.004136,0.024167
Rps27l,RPS27L,Q6ZWY3,RS27L_MOUSE,40S ribosomal protein S27-like,10491,5378,TurboID enriched,0.96,0.004142,0.024167
Arcn1,ARCN1,Q5XJY5,COPD_MOUSE,Coatomer subunit delta,15172,10447,TurboID enriched,0.56,0.004148,0.024167
Syt7,SYT7,Q9R0N7,SYT7_MOUSE,Synaptotagmin-7,21180,14875,TurboID enriched,0.51,0.004152,0.024167
Ctu2,CTU2,Q3U308,CTU2_MOUSE,Cytoplasmic tRNA 2-thiolation protein 2,5445,1713,TurboID enriched,8.80,0.004155,0.024167
Ran,RAN,P62827,RAN_MOUSE,GTP-binding nuclear protein Ran,342432,224011,TurboID enriched,0.64,0.004159,0.024167
Fam107a,FAM107A,Q78TU8,F107A_MOUSE,Actin-associated protein FAM107A,9591,2275,TurboID enriched,9.28,0.004159,0.024167
Exo5,EXO5,Q9CXP9,EXO5_MOUSE,Exonuclease V,8652,2501,TurboID enriched,9.26,0.004163,0.024167
Nhsl1,NHSL1,Q8CAF4,NHSL1_MOUSE,NHS-like protein 1,17729,706,TurboID enriched,7.77,0.004168,0.024167
Bcl2l2,BCL2L2,P70345,B2CL2_MOUSE,Bcl-2-like protein 2,5751,1738,TurboID enriched,8.84,0.004179,0.024200
Tspan14,TSPAN14,Q8QZY6,TSN14_MOUSE,Tetraspanin-14,1423,538,TurboID enriched,7.43,0.004184,0.024200
Tom1,TOM1,O88746,TOM1_MOUSE,Target of Myb protein 1,10230,5046,TurboID enriched,0.98,0.004224,0.024380
Agpat1,AGPAT1,O35083,PLCA_MOUSE,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha,38484,24583,TurboID enriched,0.65,0.004225,0.024380
Akt2,AKT2,Q60823,AKT2_MOUSE,RAC-beta serine/threonine-protein kinase,15465,7293,TurboID enriched,1.02,0.004240,0.024433
Ksr1,KSR1,Q61097,KSR1_MOUSE,Kinase suppressor of Ras 1,4966,3834,TurboID enriched,0.37,0.004256,0.024496
Zdhhc14,ZDHHC14,Q8BQQ1,ZDH14_MOUSE,Palmitoyltransferase ZDHHC14,4664,1554,TurboID enriched,8.63,0.004304,0.024744
Stx7,STX7,O70439,STX7_MOUSE,Syntaxin-7,14935,5222,TurboID enriched,1.50,0.004313,0.024763
Mprip,MPRIP,P97434,MPRIP_MOUSE,Myosin phosphatase Rho-interacting protein,5912,3838,TurboID enriched,0.64,0.004330,0.024829
Emc1,EMC1,Q8C7X2,EMC1_MOUSE,ER membrane protein complex subunit 1,15136,9968,TurboID enriched,0.61,0.004338,0.024835
Scamp3,SCAMP3,O35609,SCAM3_MOUSE,Secretory carrier-associated membrane protein 3,23139,14702,TurboID enriched,0.66,0.004343,0.024835
Lemd3,LEMD3,Q9WU40,MAN1_MOUSE,Inner nuclear membrane protein Man1,4296,2928,TurboID enriched,0.55,0.004347,0.024835
Ank1,ANK1,Q02357,ANK1_MOUSE,Ankyrin-1,19786,14759,TurboID enriched,0.43,0.004358,0.024870
Spata2,SPATA2,Q8K004,SPAT2_MOUSE,Spermatogenesis-associated protein 2,8806,3408,TurboID enriched,1.28,0.004367,0.024890
Rraga,RRAGA,Q80X95,RRAGA_MOUSE,Ras-related GTP-binding protein A,27258,18571,TurboID enriched,0.57,0.004387,0.024975
Fam126a,FAM126A,Q6P9N1,HYCCI_MOUSE,Hyccin,2394,885,TurboID enriched,7.94,0.004408,0.025000
Kcnc3,KCNC3,Q63959,KCNC3_MOUSE,Potassium voltage-gated channel subfamily C member 3,11386,6769,TurboID enriched,0.75,0.004409,0.025000
Ache,ACHE,P21836,ACES_MOUSE,Acetylcholinesterase,7633,4026,TurboID enriched,0.98,0.004413,0.025000
Grk6,GRK6,O70293,GRK6_MOUSE,G protein-coupled receptor kinase 6,31250,14694,TurboID enriched,1.22,0.004440,0.025120
Preb,PREB,Q9WUQ2,PREB_MOUSE,Prolactin regulatory element-binding protein,29241,20589,TurboID enriched,0.51,0.004451,0.025157
Acin1,ACIN1,Q9JIX8,ACINU_MOUSE,Apoptotic chromatin condensation inducer in the nucleus,2818,1050,TurboID enriched,8.10,0.004457,0.025158
Mavs,MAVS,Q8VCF0,MAVS_MOUSE,Mitochondrial antiviral-signaling protein,28720,7688,TurboID enriched,10.44,0.004488,0.025274
Epb41l5,EPB41L5,Q8BGS1,E41L5_MOUSE,Band 4.1-like protein 5,7184,2226,TurboID enriched,9.02,0.004493,0.025274
Fgd4,FGD4,Q91ZT5,FGD4_MOUSE,"FYVE, RhoGEF and PH domain-containing protein 4",5012,1745,TurboID enriched,8.69,0.004494,0.025274
Scamp5,SCAMP5,Q9JKD3,SCAM5_MOUSE,Secretory carrier-associated membrane protein 5,119962,64464,TurboID enriched,0.94,0.004544,0.025515
Pik3r1,PIK3R1,P26450,P85A_MOUSE,Phosphatidylinositol 3-kinase regulatory subunit alpha,75209,34008,TurboID enriched,1.19,0.004548,0.025515
Pitpnm1,PITPNM1,O35954,PITM1_MOUSE,Membrane-associated phosphatidylinositol transfer protein 1,25696,17464,TurboID enriched,0.57,0.004560,0.025525
Hsd17b4,HSD17B4,P51660,DHB4_MOUSE,Peroxisomal multifunctional enzyme type 2,26051,18793,TurboID enriched,0.48,0.004598,0.025633
Pnpla8,PNPLA8,Q8K1N1,PLPL8_MOUSE,Calcium-independent phospholipase A2-gamma,10161,6844,TurboID enriched,0.58,0.004602,0.025633
Cdk16,CDK16,Q04735,CDK16_MOUSE,Cyclin-dependent kinase 16,3439,1746,TurboID enriched,1.01,0.004611,0.025652
Rab3a,RAB3A,P63011,RAB3A_MOUSE,Ras-related protein Rab-3A,942762,657533,TurboID enriched,0.53,0.004633,0.025691
Fbxo42,FBXO42,Q6PDJ6,FBX42_MOUSE,F-box only protein 42,3960,2729,TurboID enriched,0.53,0.004640,0.025691
Nav3,NAV3,Q80TN7,NAV3_MOUSE,Neuron navigator 3,8128,2715,TurboID enriched,9.16,0.004641,0.025691
Spcs2,SPCS2,Q9CYN2,SPCS2_MOUSE,Signal peptidase complex subunit 2,10385,6994,TurboID enriched,0.57,0.004660,0.025714
Stk38l,STK38L,Q7TSE6,ST38L_MOUSE,Serine/threonine-protein kinase 38-like,6134,4176,TurboID enriched,0.56,0.004674,0.025731
Fam210a,FAM210A,Q8BGY7,F210A_MOUSE,Protein FAM210A,12531,8187,TurboID enriched,0.64,0.004704,0.025846
Wipf2,WIPF2,Q6PEV3,WIPF2_MOUSE,WAS/WASL-interacting protein family member 2,9017,2844,TurboID enriched,1.77,0.004710,0.025846
F13a1,F13A1,Q8BH61,F13A_MOUSE,Coagulation factor XIII A chain,3267,1263,TurboID enriched,8.23,0.004712,0.025846
Nup62,NUP62,Q63850,NUP62_MOUSE,Nuclear pore glycoprotein p62,6430,2199,TurboID enriched,8.90,0.004720,0.025858
Ptprj,PTPRJ,Q64455,PTPRJ_MOUSE,Receptor-type tyrosine-protein phosphatase eta,14138,6349,TurboID enriched,1.17,0.004750,0.025996
Gucy1a1,NA,Q9ERL9,GCYA1_MOUSE,Guanylate cyclase soluble subunit alpha-1,14493,9429,TurboID enriched,0.64,0.004774,0.026094
Nup58,NA,Q8R332,NUP58_MOUSE,Nucleoporin p58/p45,4452,1615,TurboID enriched,8.52,0.004812,0.026242
Cyb5r4,CYB5R4,Q3TDX8,NB5R4_MOUSE,Cytochrome b5 reductase 4,3431,1290,TurboID enriched,8.26,0.004832,0.026318
Mindy2,MINDY2,Q6PDI6,MINY2_MOUSE,Ubiquitin carboxyl-terminal hydrolase MINDY-2,5810,2131,TurboID enriched,8.80,0.004841,0.026318
Itpk1,ITPK1,Q8BYN3,ITPK1_MOUSE,Inositol-tetrakisphosphate 1-kinase,3292,1228,TurboID enriched,8.20,0.004843,0.026318
Retreg2,RETREG2,Q6NS82,RETR2_MOUSE,Reticulophagy regulator 2,5905,2071,TurboID enriched,8.80,0.004852,0.026336
Eml4,EML4,Q3UMY5,EMAL4_MOUSE,Echinoderm microtubule-associated protein-like 4,4292,2818,TurboID enriched,0.63,0.004864,0.026369
Cracd,NA,Q5PR69,CRACD_MOUSE,Capping protein-inhibiting regulator of actin dynamics,2251,896,TurboID enriched,7.82,0.004879,0.026395
Csdc2,CSDC2,Q91YQ3,CSDC2_MOUSE,Cold shock domain-containing protein C2,11036,3389,TurboID enriched,9.39,0.004897,0.026457
Elp4,ELP4,Q9ER73,ELP4_MOUSE,Elongator complex protein 4,37619,15862,TurboID enriched,1.21,0.004915,0.026492
Slc25a51,SLC25A51,Q5HZI9,S2551_MOUSE,Mitochondrial nicotinamide adenine dinucleotide transporter SLC25A51,15952,10220,TurboID enriched,0.66,0.004922,0.026502
Cnot4,CNOT4,Q8BT14,CNOT4_MOUSE,CCR4-NOT transcription complex subunit 4,15911,5254,TurboID enriched,9.81,0.004939,0.026520
Smg9,SMG9,Q9DB90,SMG9_MOUSE,Protein SMG9,5692,2004,TurboID enriched,8.74,0.004963,0.026520
Tppp3,TPPP3,Q9CRB6,TPPP3_MOUSE,Tubulin polymerization-promoting protein family member 3,17166,6532,TurboID enriched,1.31,0.004964,0.026520
Psmd1,PSMD1,Q3TXS7,PSMD1_MOUSE,26S proteasome non-ATPase regulatory subunit 1,28600,18894,TurboID enriched,0.63,0.004975,0.026520
