Mouse.Gene,Human.Gene,Uniprot ID,Protein Name,Protein Description,TurboID avg abundance,tdT avg abundance,Classification,logFC (TurboID vs. tdT),P.Value (TurboID vs. tdT),adj.P.Value (TurboID vs. tdT)
Dhcr24,DHCR24,Q8VCH6,DHC24_MOUSE,Delta(24)-sterol reductase,13247,NA,TurboID unique,NA,NA,NA
Mgst1,MGST1,Q91VS7,MGST1_MOUSE,Microsomal glutathione S-transferase 1,13233,NA,TurboID unique,NA,NA,NA
Arrb1,ARRB1,Q8BWG8,ARRB1_MOUSE,Beta-arrestin-1,13223,NA,TurboID unique,NA,NA,NA
Cul2,CUL2,Q9D4H8,CUL2_MOUSE,Cullin-2,13207,NA,TurboID unique,NA,NA,NA
Pag1,PAG1,Q3U1F9,PHAG1_MOUSE,Phosphoprotein associated with glycosphingolipid-enriched microdomains 1,13205,NA,TurboID unique,NA,NA,NA
Alg10b,ALG10,Q3UGP8,AG10B_MOUSE,"Putative Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase",13198,NA,TurboID unique,NA,NA,NA
Tmem229a,TMEM229A,B9EJI9,T229A_MOUSE,Transmembrane protein 229A,13193,NA,TurboID unique,NA,NA,NA
Clu,CLU,Q06890,CLUS_MOUSE,Clusterin,13185,NA,TurboID unique,NA,NA,NA
Serbp1,SERBP1,Q9CY58,PAIRB_MOUSE,Plasminogen activator inhibitor 1 RNA-binding protein,13184,NA,TurboID unique,NA,NA,NA
Atl2,ATL2,Q6PA06,ATLA2_MOUSE,Atlastin-2,13182,NA,TurboID unique,NA,NA,NA
Adgrl3,ADGRL3,Q80TS3,AGRL3_MOUSE,Adhesion G protein-coupled receptor L3,13162,NA,TurboID unique,NA,NA,NA
Crk,CRK,Q64010,CRK_MOUSE,Adapter molecule crk,13156,NA,TurboID unique,NA,NA,NA
Cntnap4,CNTNAP4,Q99P47,CNTP4_MOUSE,Contactin-associated protein-like 4,13150,NA,TurboID unique,NA,NA,NA
Mycbp2,MYCBP2,Q7TPH6,MYCB2_MOUSE,E3 ubiquitin-protein ligase MYCBP2,13140,NA,TurboID unique,NA,NA,NA
Rasgrf1,RASGRF1,P27671,RGRF1_MOUSE,Ras-specific guanine nucleotide-releasing factor 1,13112,NA,TurboID unique,NA,NA,NA
Eif4g2,EIF4G2,Q62448,IF4G2_MOUSE,Eukaryotic translation initiation factor 4 gamma 2,13099,NA,TurboID unique,NA,NA,NA
Cav2,CAV2,Q9WVC3,CAV2_MOUSE,Caveolin-2,13096,NA,TurboID unique,NA,NA,NA
Stambpl1,STAMBPL1,Q76N33,STALP_MOUSE,AMSH-like protease,13088,NA,TurboID unique,NA,NA,NA
Tmem94,TMEM94,Q7TSH8,TMM94_MOUSE,Transmembrane protein 94,13083,NA,TurboID unique,NA,NA,NA
Sgip1,SGIP1,Q8VD37,SGIP1_MOUSE,SH3-containing GRB2-like protein 3-interacting protein 1,13078,NA,TurboID unique,NA,NA,NA
Asah1,ASAH1,Q9WV54,ASAH1_MOUSE,Acid ceramidase,13009,NA,TurboID unique,NA,NA,NA
Fam126b,FAM126B,Q8C729,F126B_MOUSE,Protein FAM126B,12936,NA,TurboID unique,NA,NA,NA
Il1rapl1,IL1RAPL1,P59823,IRPL1_MOUSE,Interleukin-1 receptor accessory protein-like 1,12936,NA,TurboID unique,NA,NA,NA
Fam110b,FAM110B,Q8C739,F110B_MOUSE,Protein FAM110B,12931,NA,TurboID unique,NA,NA,NA
Aldh3a2,ALDH3A2,P47740,AL3A2_MOUSE,Aldehyde dehydrogenase family 3 member A2,12915,NA,TurboID unique,NA,NA,NA
Mtor,MTOR,Q9JLN9,MTOR_MOUSE,Serine/threonine-protein kinase mTOR,12908,NA,TurboID unique,NA,NA,NA
Lman2l,LMAN2L,P59481,LMA2L_MOUSE,VIP36-like protein,12901,NA,TurboID unique,NA,NA,NA
Camlg,NA,P49070,CAMLG_MOUSE,Guided entry of tail-anchored proteins factor CAMLG,12892,NA,TurboID unique,NA,NA,NA
Dpysl5,DPYSL5,Q9EQF6,DPYL5_MOUSE,Dihydropyrimidinase-related protein 5,12886,NA,TurboID unique,NA,NA,NA
Tmx1,TMX1,Q8VBT0,TMX1_MOUSE,Thioredoxin-related transmembrane protein 1,12874,NA,TurboID unique,NA,NA,NA
Jam2,JAM2,Q9JI59,JAM2_MOUSE,Junctional adhesion molecule B,12869,NA,TurboID unique,NA,NA,NA
Jcad,JCAD,Q5DTX6,JCAD_MOUSE,Junctional protein associated with coronary artery disease,12859,NA,TurboID unique,NA,NA,NA
Rps27l,RPS27L,Q6ZWY3,RS27L_MOUSE,40S ribosomal protein S27-like,12839,NA,TurboID unique,NA,NA,NA
Eif4g3,EIF4G3,Q80XI3,IF4G3_MOUSE,Eukaryotic translation initiation factor 4 gamma 3,12839,NA,TurboID unique,NA,NA,NA
Elmod1,ELMOD1,Q3V1U8,ELMD1_MOUSE,ELMO domain-containing protein 1,12830,NA,TurboID unique,NA,NA,NA
Sdk2,SDK2,Q6V4S5,SDK2_MOUSE,Protein sidekick-2,12823,NA,TurboID unique,NA,NA,NA
Spcs2,SPCS2,Q9CYN2,SPCS2_MOUSE,Signal peptidase complex subunit 2,12816,NA,TurboID unique,NA,NA,NA
Plpp7,PLPP7,Q91WB2,PLPP7_MOUSE,Inactive phospholipid phosphatase 7,12797,NA,TurboID unique,NA,NA,NA
Lpcat1,LPCAT1,Q3TFD2,PCAT1_MOUSE,Lysophosphatidylcholine acyltransferase 1,12783,NA,TurboID unique,NA,NA,NA
S100a13,S100A13,P97352,S10AD_MOUSE,Protein S100-A13,12782,NA,TurboID unique,NA,NA,NA
Strn,STRN,O55106,STRN_MOUSE,Striatin,12765,NA,TurboID unique,NA,NA,NA
Nit2,NIT2,Q9JHW2,NIT2_MOUSE,Omega-amidase NIT2,12736,NA,TurboID unique,NA,NA,NA
Gabra2,GABRA2,P26048,GBRA2_MOUSE,Gamma-aminobutyric acid receptor subunit alpha-2,12728,NA,TurboID unique,NA,NA,NA
Sema4d,SEMA4D,O09126,SEM4D_MOUSE,Semaphorin-4D,12721,NA,TurboID unique,NA,NA,NA
Mon2,MON2,Q80TL7,MON2_MOUSE,Protein MON2 homolog,12721,NA,TurboID unique,NA,NA,NA
Hdac2,HDAC2,P70288,HDAC2_MOUSE,Histone deacetylase 2,12704,NA,TurboID unique,NA,NA,NA
Fbln5,FBLN5,Q9WVH9,FBLN5_MOUSE,Fibulin-5,12702,NA,TurboID unique,NA,NA,NA
Vps39,VPS39,Q8R5L3,VPS39_MOUSE,Vam6/Vps39-like protein,12697,NA,TurboID unique,NA,NA,NA
Ndufb9,NDUFB9,Q9CQJ8,NDUB9_MOUSE,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9,12696,NA,TurboID unique,NA,NA,NA
Borcs5,BORCS5,Q9D920,BORC5_MOUSE,BLOC-1-related complex subunit 5,12692,NA,TurboID unique,NA,NA,NA
Usp20,USP20,Q8C6M1,UBP20_MOUSE,Ubiquitin carboxyl-terminal hydrolase 20,12688,NA,TurboID unique,NA,NA,NA
Mff,MFF,Q6PCP5,MFF_MOUSE,Mitochondrial fission factor,12681,NA,TurboID unique,NA,NA,NA
Slc25a35,SLC25A35,Q5SWT3,S2535_MOUSE,Solute carrier family 25 member 35,12649,NA,TurboID unique,NA,NA,NA
Gpr107,GPR107,Q8BUV8,GP107_MOUSE,Protein GPR107,12646,NA,TurboID unique,NA,NA,NA
Alg5,ALG5,Q9DB25,ALG5_MOUSE,Dolichyl-phosphate beta-glucosyltransferase,12642,NA,TurboID unique,NA,NA,NA
Adcy6,ADCY6,Q01341,ADCY6_MOUSE,Adenylate cyclase type 6,12636,NA,TurboID unique,NA,NA,NA
Rap1b,RAP1B,Q99JI6,RAP1B_MOUSE,Ras-related protein Rap-1b,12634,NA,TurboID unique,NA,NA,NA
Rptor,RPTOR,Q8K4Q0,RPTOR_MOUSE,Regulatory-associated protein of mTOR,12619,NA,TurboID unique,NA,NA,NA
Flii,FLII,Q9JJ28,FLII_MOUSE,Protein flightless-1 homolog,12611,NA,TurboID unique,NA,NA,NA
Vps18,VPS18,Q8R307,VPS18_MOUSE,Vacuolar protein sorting-associated protein 18 homolog,12602,NA,TurboID unique,NA,NA,NA
Slc25a19,SLC25A19,Q9DAM5,TPC_MOUSE,Mitochondrial thiamine pyrophosphate carrier,12601,NA,TurboID unique,NA,NA,NA
Nat14,NAT14,Q8BVG8,NAT14_MOUSE,N-acetyltransferase 14,12584,NA,TurboID unique,NA,NA,NA
Tmem178a,NA,Q9CZ16,T178A_MOUSE,Transmembrane protein 178A,12578,NA,TurboID unique,NA,NA,NA
Dpp4,DPP4,P28843,DPP4_MOUSE,Dipeptidyl peptidase 4,12556,NA,TurboID unique,NA,NA,NA
Tap2,TAP2,P36371,TAP2_MOUSE,Antigen peptide transporter 2,12556,NA,TurboID unique,NA,NA,NA
Ap1s1,AP1S1,P61967,AP1S1_MOUSE,AP-1 complex subunit sigma-1A,12554,NA,TurboID unique,NA,NA,NA
Ppp3cb,PPP3CB,P48453,PP2BB_MOUSE,Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform,12543,NA,TurboID unique,NA,NA,NA
Pip4k2a,PIP4K2A,O70172,PI42A_MOUSE,Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha,12527,NA,TurboID unique,NA,NA,NA
Clic4,CLIC4,Q9QYB1,CLIC4_MOUSE,Chloride intracellular channel protein 4,12526,NA,TurboID unique,NA,NA,NA
Ckap5,CKAP5,A2AGT5,CKAP5_MOUSE,Cytoskeleton-associated protein 5,12508,NA,TurboID unique,NA,NA,NA
Qars1,NA,Q8BML9,SYQ_MOUSE,Glutamine--tRNA ligase,12507,NA,TurboID unique,NA,NA,NA
Rabep1,RABEP1,O35551,RABE1_MOUSE,Rab GTPase-binding effector protein 1,12505,NA,TurboID unique,NA,NA,NA
Trim2,TRIM2,Q9ESN6,TRIM2_MOUSE,Tripartite motif-containing protein 2,12495,NA,TurboID unique,NA,NA,NA
Rp2,RP2,Q9EPK2,XRP2_MOUSE,Protein XRP2,12472,NA,TurboID unique,NA,NA,NA
Dync1li1,DYNC1LI1,Q8R1Q8,DC1L1_MOUSE,Cytoplasmic dynein 1 light intermediate chain 1,12449,NA,TurboID unique,NA,NA,NA
Igf2r,IGF2R,Q07113,MPRI_MOUSE,Cation-independent mannose-6-phosphate receptor,12400,NA,TurboID unique,NA,NA,NA
Xkr7,XKR7,Q5GH64,XKR7_MOUSE,XK-related protein 7,12395,NA,TurboID unique,NA,NA,NA
mt-Co3,NA,P00416,COX3_MOUSE,Cytochrome c oxidase subunit 3,12389,NA,TurboID unique,NA,NA,NA
Cfap300,NA,Q8CC70,CF300_MOUSE,Cilia- and flagella-associated protein 300,12318,NA,TurboID unique,NA,NA,NA
Bri3bp,BRI3BP,Q8BXV2,BRI3B_MOUSE,BRI3-binding protein,12303,NA,TurboID unique,NA,NA,NA
Cul5,CUL5,Q9D5V5,CUL5_MOUSE,Cullin-5,12290,NA,TurboID unique,NA,NA,NA
Rars1,NA,Q9D0I9,SYRC_MOUSE,"Arginine--tRNA ligase, cytoplasmic",12289,NA,TurboID unique,NA,NA,NA
Cd82,CD82,P40237,CD82_MOUSE,CD82 antigen,12282,NA,TurboID unique,NA,NA,NA
Psd,PSD,Q5DTT2,PSD1_MOUSE,PH and SEC7 domain-containing protein 1,12282,NA,TurboID unique,NA,NA,NA
Kbtbd11,KBTBD11,Q8BNW9,KBTBB_MOUSE,Kelch repeat and BTB domain-containing protein 11,12280,NA,TurboID unique,NA,NA,NA
Fmr1,FMR1,P35922,FMR1_MOUSE,Synaptic functional regulator FMR1,12280,NA,TurboID unique,NA,NA,NA
Dgkb,DGKB,Q6NS52,DGKB_MOUSE,Diacylglycerol kinase beta,12270,NA,TurboID unique,NA,NA,NA
Srgap3,SRGAP3,Q812A2,SRGP3_MOUSE,SLIT-ROBO Rho GTPase-activating protein 3,12252,NA,TurboID unique,NA,NA,NA
Dlgap4,DLGAP4,B1AZP2,DLGP4_MOUSE,Disks large-associated protein 4,12230,NA,TurboID unique,NA,NA,NA
Pdpr,PDPR,Q7TSQ8,PDPR_MOUSE,"Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial",12227,NA,TurboID unique,NA,NA,NA
Dnpep,DNPEP,Q9Z2W0,DNPEP_MOUSE,Aspartyl aminopeptidase,12176,NA,TurboID unique,NA,NA,NA
Cldnd1,CLDND1,Q9CQX5,CLDN1_MOUSE,Claudin domain-containing protein 1,12172,NA,TurboID unique,NA,NA,NA
Mast3,MAST3,Q3U214,MAST3_MOUSE,Microtubule-associated serine/threonine-protein kinase 3,12146,NA,TurboID unique,NA,NA,NA
Hsdl2,HSDL2,Q2TPA8,HSDL2_MOUSE,Hydroxysteroid dehydrogenase-like protein 2,12126,NA,TurboID unique,NA,NA,NA
Alg9,ALG9,Q8VDI9,ALG9_MOUSE,"Alpha-1,2-mannosyltransferase ALG9",12118,NA,TurboID unique,NA,NA,NA
Cpne9,CPNE9,Q1RLL3,CPNE9_MOUSE,Copine-9,12086,NA,TurboID unique,NA,NA,NA
Eif2s1,EIF2S1,Q6ZWX6,IF2A_MOUSE,Eukaryotic translation initiation factor 2 subunit 1,12085,NA,TurboID unique,NA,NA,NA
Tspan7,TSPAN7,Q62283,TSN7_MOUSE,Tetraspanin-7,12077,NA,TurboID unique,NA,NA,NA
Efr3a,EFR3A,Q8BG67,EFR3A_MOUSE,Protein EFR3 homolog A,12074,NA,TurboID unique,NA,NA,NA
Arhgap23,ARHGAP23,Q69ZH9,RHG23_MOUSE,Rho GTPase-activating protein 23,12070,NA,TurboID unique,NA,NA,NA
Lrch3,LRCH3,Q8BVU0,LRCH3_MOUSE,DISP complex protein LRCH3,12036,NA,TurboID unique,NA,NA,NA
Hcls1,HCLS1,P49710,HCLS1_MOUSE,Hematopoietic lineage cell-specific protein,12031,NA,TurboID unique,NA,NA,NA
Hapln2,HAPLN2,Q9ESM3,HPLN2_MOUSE,Hyaluronan and proteoglycan link protein 2,12027,NA,TurboID unique,NA,NA,NA
Scai,SCAI,Q8C8N2,SCAI_MOUSE,Protein SCAI,12020,NA,TurboID unique,NA,NA,NA
Abhd3,ABHD3,Q91ZH7,ABHD3_MOUSE,Phospholipase ABHD3,12017,NA,TurboID unique,NA,NA,NA
Ago2,AGO2,Q8CJG0,AGO2_MOUSE,Protein argonaute-2,12015,NA,TurboID unique,NA,NA,NA
Wls,WLS,Q6DID7,WLS_MOUSE,Protein wntless homolog,11988,NA,TurboID unique,NA,NA,NA
Cntn4,CNTN4,Q69Z26,CNTN4_MOUSE,Contactin-4,11955,NA,TurboID unique,NA,NA,NA
Klhdc7a,KLHDC7A,A2APT9,KLD7A_MOUSE,Kelch domain-containing protein 7A,11941,NA,TurboID unique,NA,NA,NA
Septin9,NA,Q80UG5,SEPT9_MOUSE,Septin-9,11940,NA,TurboID unique,NA,NA,NA
Fmo2,FMO2,Q8K2I3,FMO2_MOUSE,Dimethylaniline monooxygenase [N-oxide-forming] 2,11928,NA,TurboID unique,NA,NA,NA
Cdc42bpa,CDC42BPA,Q3UU96,MRCKA_MOUSE,Serine/threonine-protein kinase MRCK alpha,11898,NA,TurboID unique,NA,NA,NA
Scn8a,SCN8A,Q9WTU3,SCN8A_MOUSE,Sodium channel protein type 8 subunit alpha,11890,NA,TurboID unique,NA,NA,NA
Pacs1,PACS1,Q8K212,PACS1_MOUSE,Phosphofurin acidic cluster sorting protein 1,11889,NA,TurboID unique,NA,NA,NA
Acadm,ACADM,P45952,ACADM_MOUSE,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",11858,NA,TurboID unique,NA,NA,NA
Yipf3,YIPF3,Q3UDR8,YIPF3_MOUSE,Protein YIPF3,11848,NA,TurboID unique,NA,NA,NA
Ndufb1,NA,P0DN34,NDUB1_MOUSE,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1,11842,NA,TurboID unique,NA,NA,NA
Ptprf,PTPRF,A2A8L5,PTPRF_MOUSE,Receptor-type tyrosine-protein phosphatase F,11829,NA,TurboID unique,NA,NA,NA
Pld1,PLD1,Q9Z280,PLD1_MOUSE,Phospholipase D1,11827,NA,TurboID unique,NA,NA,NA
Eif5,EIF5,P59325,IF5_MOUSE,Eukaryotic translation initiation factor 5,11818,NA,TurboID unique,NA,NA,NA
Slc38a1,SLC38A1,Q8K2P7,S38A1_MOUSE,Sodium-coupled neutral amino acid transporter 1,11806,NA,TurboID unique,NA,NA,NA
Gapvd1,GAPVD1,Q6PAR5,GAPD1_MOUSE,GTPase-activating protein and VPS9 domain-containing protein 1,11782,NA,TurboID unique,NA,NA,NA
Pigu,PIGU,Q8K358,PIGU_MOUSE,Phosphatidylinositol glycan anchor biosynthesis class U protein,11774,NA,TurboID unique,NA,NA,NA
Atp9b,ATP9B,P98195,ATP9B_MOUSE,Probable phospholipid-transporting ATPase IIB,11743,NA,TurboID unique,NA,NA,NA
Nudt3,NUDT3,Q9JI46,NUDT3_MOUSE,Diphosphoinositol polyphosphate phosphohydrolase 1,11737,NA,TurboID unique,NA,NA,NA
Dkc1,DKC1,Q9ESX5,DKC1_MOUSE,H/ACA ribonucleoprotein complex subunit DKC1,11735,NA,TurboID unique,NA,NA,NA
Gart,GART,Q64737,PUR2_MOUSE,Trifunctional purine biosynthetic protein adenosine-3,11734,NA,TurboID unique,NA,NA,NA
Rpap3,RPAP3,Q9D706,RPAP3_MOUSE,RNA polymerase II-associated protein 3,11722,NA,TurboID unique,NA,NA,NA
Cnnm3,CNNM3,Q32NY4,CNNM3_MOUSE,Metal transporter CNNM3,11697,NA,TurboID unique,NA,NA,NA
Cemip2,NA,Q5FWI3,CEIP2_MOUSE,Cell surface hyaluronidase,11675,NA,TurboID unique,NA,NA,NA
Baalc,BAALC,Q8VHV1,BAALC_MOUSE,Brain and acute leukemia cytoplasmic protein,11666,NA,TurboID unique,NA,NA,NA
Timm23,TIMM23,Q9WTQ8,TIM23_MOUSE,Mitochondrial import inner membrane translocase subunit Tim23,11634,NA,TurboID unique,NA,NA,NA
Agap2,AGAP2,Q3UHD9,AGAP2_MOUSE,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2",11631,NA,TurboID unique,NA,NA,NA
Slc9a3r2,SLC9A3R2,Q9JHL1,NHRF2_MOUSE,Na(+)/H(+) exchange regulatory cofactor NHE-RF2,11628,NA,TurboID unique,NA,NA,NA
Nlgn1,NLGN1,Q99K10,NLGN1_MOUSE,Neuroligin-1,11613,NA,TurboID unique,NA,NA,NA
Cog1,COG1,Q9Z160,COG1_MOUSE,Conserved oligomeric Golgi complex subunit 1,11606,NA,TurboID unique,NA,NA,NA
Gpat4,GPAT4,Q8K2C8,GPAT4_MOUSE,Glycerol-3-phosphate acyltransferase 4,11603,NA,TurboID unique,NA,NA,NA
Syn3,SYN3,Q8JZP2,SYN3_MOUSE,Synapsin-3,11589,NA,TurboID unique,NA,NA,NA
Fbxl16,FBXL16,A2RT62,FXL16_MOUSE,F-box/LRR-repeat protein 16,11585,NA,TurboID unique,NA,NA,NA
Nptxr,NPTXR,Q99J85,NPTXR_MOUSE,Neuronal pentraxin receptor,11567,NA,TurboID unique,NA,NA,NA
Notch1,NOTCH1,Q01705,NOTC1_MOUSE,Neurogenic locus notch homolog protein 1,11565,NA,TurboID unique,NA,NA,NA
Pdk3,PDK3,Q922H2,PDK3_MOUSE,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",11562,NA,TurboID unique,NA,NA,NA
Nipsnap3b,NIPSNAP3A,Q9CQE1,NPS3B_MOUSE,Protein NipSnap homolog 3B,11551,NA,TurboID unique,NA,NA,NA
Ergic2,ERGIC2,Q9CR89,ERGI2_MOUSE,Endoplasmic reticulum-Golgi intermediate compartment protein 2,11549,NA,TurboID unique,NA,NA,NA
Cnn3,CNN3,Q9DAW9,CNN3_MOUSE,Calponin-3,11547,NA,TurboID unique,NA,NA,NA
Tmem68,TMEM68,Q9D850,TMM68_MOUSE,Transmembrane protein 68,11536,NA,TurboID unique,NA,NA,NA
Emd,EMD,O08579,EMD_MOUSE,Emerin,11528,NA,TurboID unique,NA,NA,NA
Micu1,MICU1,Q8VCX5,MICU1_MOUSE,"Calcium uptake protein 1, mitochondrial",11502,NA,TurboID unique,NA,NA,NA
Arhgef17,ARHGEF17,Q80U35,ARHGH_MOUSE,Rho guanine nucleotide exchange factor 17,11493,NA,TurboID unique,NA,NA,NA
Wdfy3,WDFY3,Q6VNB8,WDFY3_MOUSE,WD repeat and FYVE domain-containing protein 3,11486,NA,TurboID unique,NA,NA,NA
Nf1,NF1,Q04690,NF1_MOUSE,Neurofibromin,11485,NA,TurboID unique,NA,NA,NA
Nlrx1,NLRX1,Q3TL44,NLRX1_MOUSE,NLR family member X1,11466,NA,TurboID unique,NA,NA,NA
Rabgap1,RABGAP1,A2AWA9,RBGP1_MOUSE,Rab GTPase-activating protein 1,11462,NA,TurboID unique,NA,NA,NA
Kcnq5,KCNQ5,Q9JK45,KCNQ5_MOUSE,Potassium voltage-gated channel subfamily KQT member 5,11458,NA,TurboID unique,NA,NA,NA
Vcpip1,VCPIP1,Q8CDG3,VCIP1_MOUSE,Deubiquitinating protein VCPIP1,11446,NA,TurboID unique,NA,NA,NA
Yars1,NA,Q91WQ3,SYYC_MOUSE,"Tyrosine--tRNA ligase, cytoplasmic",11417,NA,TurboID unique,NA,NA,NA
Ptpn2,PTPN2,Q06180,PTN2_MOUSE,Tyrosine-protein phosphatase non-receptor type 2,11407,NA,TurboID unique,NA,NA,NA
Elavl4,ELAVL4,Q61701,ELAV4_MOUSE,ELAV-like protein 4,11398,NA,TurboID unique,NA,NA,NA
Hkdc1,HKDC1,Q91W97,HKDC1_MOUSE,Hexokinase HKDC1,11390,NA,TurboID unique,NA,NA,NA
Gad2,GAD2,P48320,DCE2_MOUSE,Glutamate decarboxylase 2,11367,NA,TurboID unique,NA,NA,NA
Xpr1,XPR1,Q9Z0U0,XPR1_MOUSE,Xenotropic and polytropic retrovirus receptor 1,11367,NA,TurboID unique,NA,NA,NA
Twf2,TWF2,Q9Z0P5,TWF2_MOUSE,Twinfilin-2,11362,NA,TurboID unique,NA,NA,NA
Prep,PREP,Q9QUR6,PPCE_MOUSE,Prolyl endopeptidase,11330,NA,TurboID unique,NA,NA,NA
Gipc1,GIPC1,Q9Z0G0,GIPC1_MOUSE,PDZ domain-containing protein GIPC1,11320,NA,TurboID unique,NA,NA,NA
Dock3,DOCK3,Q8CIQ7,DOCK3_MOUSE,Dedicator of cytokinesis protein 3,11303,NA,TurboID unique,NA,NA,NA
Cadps2,CADPS2,Q8BYR5,CAPS2_MOUSE,Calcium-dependent secretion activator 2,11288,NA,TurboID unique,NA,NA,NA
Rnpep,RNPEP,Q8VCT3,AMPB_MOUSE,Aminopeptidase B,11286,NA,TurboID unique,NA,NA,NA
Fgfr3,FGFR3,Q61851,FGFR3_MOUSE,Fibroblast growth factor receptor 3,11277,NA,TurboID unique,NA,NA,NA
Adam12,ADAM12,Q61824,ADA12_MOUSE,Disintegrin and metalloproteinase domain-containing protein 12,11274,NA,TurboID unique,NA,NA,NA
Erc2,ERC2,Q6PH08,ERC2_MOUSE,ERC protein 2,11266,NA,TurboID unique,NA,NA,NA
Emc4,EMC4,Q9CZX9,EMC4_MOUSE,ER membrane protein complex subunit 4,11266,NA,TurboID unique,NA,NA,NA
Micu3,MICU3,Q9CTY5,MICU3_MOUSE,"Calcium uptake protein 3, mitochondrial",11239,NA,TurboID unique,NA,NA,NA
Frmd5,FRMD5,Q6P5H6,FRMD5_MOUSE,FERM domain-containing protein 5,11233,NA,TurboID unique,NA,NA,NA
Decr2,DECR2,Q9WV68,DECR2_MOUSE,"Peroxisomal 2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing]",11224,NA,TurboID unique,NA,NA,NA
Ston2,STON2,Q8BZ60,STON2_MOUSE,Stonin-2,11218,NA,TurboID unique,NA,NA,NA
Cbln4,CBLN4,Q8BME9,CBLN4_MOUSE,Cerebellin-4,11217,NA,TurboID unique,NA,NA,NA
Dcaf8,DCAF8,Q8N7N5,DCAF8_MOUSE,DDB1- and CUL4-associated factor 8,11205,NA,TurboID unique,NA,NA,NA
Skp1,NA,Q9WTX5,SKP1_MOUSE,S-phase kinase-associated protein 1,11174,NA,TurboID unique,NA,NA,NA
Tenm2,TENM2,Q9WTS5,TEN2_MOUSE,Teneurin-2,11169,NA,TurboID unique,NA,NA,NA
Arfgef3,ARFGEF3,Q3UGY8,BIG3_MOUSE,Brefeldin A-inhibited guanine nucleotide-exchange protein 3,11159,NA,TurboID unique,NA,NA,NA
Uvrag,UVRAG,Q8K245,UVRAG_MOUSE,UV radiation resistance-associated protein,11133,NA,TurboID unique,NA,NA,NA
Elp1,NA,Q7TT37,ELP1_MOUSE,Elongator complex protein 1,11124,NA,TurboID unique,NA,NA,NA
Pllp,PLLP,Q9DCU2,PLLP_MOUSE,Plasmolipin,11107,NA,TurboID unique,NA,NA,NA
Begain,BEGAIN,Q68EF6,BEGIN_MOUSE,Brain-enriched guanylate kinase-associated protein,11060,NA,TurboID unique,NA,NA,NA
Abce1,ABCE1,P61222,ABCE1_MOUSE,ATP-binding cassette sub-family E member 1,11042,NA,TurboID unique,NA,NA,NA
Diras1,DIRAS1,Q91Z61,DIRA1_MOUSE,GTP-binding protein Di-Ras1,11036,NA,TurboID unique,NA,NA,NA
Tacc1,TACC1,Q6Y685,TACC1_MOUSE,Transforming acidic coiled-coil-containing protein 1,11029,NA,TurboID unique,NA,NA,NA
Osmr,OSMR,O70458,OSMR_MOUSE,Oncostatin-M-specific receptor subunit beta,11027,NA,TurboID unique,NA,NA,NA
Washc4,WASHC4,Q3UMB9,WASC4_MOUSE,WASH complex subunit 4,11024,NA,TurboID unique,NA,NA,NA
Mybbp1a,MYBBP1A,Q7TPV4,MBB1A_MOUSE,Myb-binding protein 1A,11022,NA,TurboID unique,NA,NA,NA
Slc25a32,SLC25A32,Q8BMG8,MFTC_MOUSE,Mitochondrial folate transporter/carrier,10998,NA,TurboID unique,NA,NA,NA
Tenm3,TENM3,Q9WTS6,TEN3_MOUSE,Teneurin-3,10985,NA,TurboID unique,NA,NA,NA
Sacs,SACS,Q9JLC8,SACS_MOUSE,Sacsin,10982,NA,TurboID unique,NA,NA,NA
Nup210,NUP210,Q9QY81,PO210_MOUSE,Nuclear pore membrane glycoprotein 210,10979,NA,TurboID unique,NA,NA,NA
Sdhd,SDHD,Q9CXV1,DHSD_MOUSE,"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial",10978,NA,TurboID unique,NA,NA,NA
Wwp1,WWP1,Q8BZZ3,WWP1_MOUSE,NEDD4-like E3 ubiquitin-protein ligase WWP1,10968,NA,TurboID unique,NA,NA,NA
Iqsec2,IQSEC2,Q5DU25,IQEC2_MOUSE,IQ motif and SEC7 domain-containing protein 2,10967,NA,TurboID unique,NA,NA,NA
Xpo7,XPO7,Q9EPK7,XPO7_MOUSE,Exportin-7,10965,NA,TurboID unique,NA,NA,NA
Slc5a3,SLC5A3,Q9JKZ2,SC5A3_MOUSE,Sodium/myo-inositol cotransporter,10965,NA,TurboID unique,NA,NA,NA
Tgm2,TGM2,P21981,TGM2_MOUSE,Protein-glutamine gamma-glutamyltransferase 2,10948,NA,TurboID unique,NA,NA,NA
Smpd2,SMPD2,O70572,NSMA_MOUSE,Sphingomyelin phosphodiesterase 2,10948,NA,TurboID unique,NA,NA,NA
Slc22a5,SLC22A5,Q9Z0E8,S22A5_MOUSE,Solute carrier family 22 member 5,10932,NA,TurboID unique,NA,NA,NA
