Mouse.Gene,Human.Gene,Uniprot ID,Protein Name,Protein description,LPS avg abundance,PBS avg abundance,Differentially Expressed?,logFC (LPS_vs_PBS),P.Value (LPS_vs_PBS),adj.P.Value (LPS_vs_PBS)
Echdc1,ECHDC1,Q9D9V3,ECHD1_MOUSE,Ethylmalonyl-CoA decarboxylase,7979,7244,No,0.19,0.478584,0.999933
Echs1,ECHS1,Q8BH95,ECHM_MOUSE,"Enoyl-CoA hydratase, mitochondrial",7874,8214,No,-0.13,0.671394,0.999933
Eci1,ECI1,P42125,ECI1_MOUSE,"Enoyl-CoA delta isomerase 1, mitochondrial",6267,4690,No,0.56,0.170062,0.999933
Eci2,ECI2,Q9WUR2,ECI2_MOUSE,Enoyl-CoA delta isomerase 2,4617,4427,No,0.06,0.837883,0.999933
Edc4,EDC4,Q3UJB9,EDC4_MOUSE,Enhancer of mRNA-decapping protein 4,11618,10033,No,0.24,0.365393,0.999933
Eea1,EEA1,Q8BL66,EEA1_MOUSE,Early endosome antigen 1,55914,52140,No,0.09,0.701628,0.999933
Eef1a1,EEF1A1,P10126,EF1A1_MOUSE,Elongation factor 1-alpha 1,212518,187460,No,0.18,0.405627,0.999933
Eef1a2,EEF1A2,P62631,EF1A2_MOUSE,Elongation factor 1-alpha 2,71258,86920,No,-0.20,0.560359,0.999933
Eef1b,NA,O70251,EF1B_MOUSE,Elongation factor 1-beta,11545,11036,No,0.29,0.501372,0.999933
Eef1d,EEF1D,P57776,EF1D_MOUSE,Elongation factor 1-delta,32503,30578,No,0.05,0.864086,0.999933
Eef1g,EEF1G,Q9D8N0,EF1G_MOUSE,Elongation factor 1-gamma,21658,24222,No,-0.11,0.703312,0.999933
Eef2,EEF2,P58252,EF2_MOUSE,Elongation factor 2,29824,27775,No,0.11,0.662873,0.999933
Efhd2,EFHD2,Q9D8Y0,EFHD2_MOUSE,EF-hand domain-containing protein D2,22701,24968,No,0.01,0.971853,0.999933
Efnb3,EFNB3,O35393,EFNB3_MOUSE,Ephrin-B3,5433,7739,No,-0.54,0.266319,0.999933
Efr3a,EFR3A,Q8BG67,EFR3A_MOUSE,Protein EFR3 homolog A,7990,8844,No,-0.10,0.716914,0.999933
Efr3b,EFR3B,Q6ZQ18,EFR3B_MOUSE,Protein EFR3 homolog B,31069,27823,No,0.22,0.429769,0.999933
Eftud2,EFTUD2,O08810,U5S1_MOUSE,116 kDa U5 small nuclear ribonucleoprotein component,10771,10507,No,0.07,0.792958,0.999933
Egfr,EGFR,Q01279,EGFR_MOUSE,Epidermal growth factor receptor,31817,27599,No,0.23,0.359533,0.999933
Ehd3,EHD3,Q9QXY6,EHD3_MOUSE,EH domain-containing protein 3,7903,7273,No,0.14,0.606642,0.999933
Ei24,EI24,Q61070,EI24_MOUSE,Etoposide-induced protein 2.4,29038,27556,No,0.08,0.680159,0.999933
Eif2a,EIF2A,Q8BJW6,EIF2A_MOUSE,Eukaryotic translation initiation factor 2A,10331,6065,No,0.54,0.360177,0.999933
Eif2ak4,EIF2AK4,Q9QZ05,E2AK4_MOUSE,eIF-2-alpha kinase GCN2,36310,33782,No,0.04,0.907884,0.999933
Eif2s1,EIF2S1,Q6ZWX6,IF2A_MOUSE,Eukaryotic translation initiation factor 2 subunit 1,8695,8911,No,-0.17,0.592223,0.999933
Eif2s3x,EIF2S3,Q9Z0N1,IF2G_MOUSE,"Eukaryotic translation initiation factor 2 subunit 3, X-linked",13823,10795,No,0.35,0.206083,0.999933
Eif3a,EIF3A,P23116,EIF3A_MOUSE,Eukaryotic translation initiation factor 3 subunit A,8596,5745,Up with LPS,0.63,0.041953,0.999933
Eif3b,EIF3B,Q8JZQ9,EIF3B_MOUSE,Eukaryotic translation initiation factor 3 subunit B,18469,21955,No,-0.18,0.578097,0.999933
Eif3c,EIF3C,Q8R1B4,EIF3C_MOUSE,Eukaryotic translation initiation factor 3 subunit C,12014,10151,No,0.27,0.301645,0.999933
Eif3f,EIF3F,Q9DCH4,EIF3F_MOUSE,Eukaryotic translation initiation factor 3 subunit F,4201,5455,No,-0.35,0.275725,0.999933
Eif3g,EIF3G,Q9Z1D1,EIF3G_MOUSE,Eukaryotic translation initiation factor 3 subunit G,6612,6740,No,-0.03,0.919378,0.999933
Eif3h,EIF3H,Q91WK2,EIF3H_MOUSE,Eukaryotic translation initiation factor 3 subunit H,16275,13798,No,0.25,0.346661,0.999933
Eif3l,EIF3L,Q8QZY1,EIF3L_MOUSE,Eukaryotic translation initiation factor 3 subunit L,16941,16153,No,0.05,0.808009,0.999933
Eif4a1,EIF4A1,P60843,IF4A1_MOUSE,Eukaryotic initiation factor 4A-I,11897,13278,No,-0.28,0.443658,0.999933
Eif4a2,EIF4A2,P10630,IF4A2_MOUSE,Eukaryotic initiation factor 4A-II,43512,40729,No,0.10,0.704206,0.999933
Eif4b,EIF4B,Q8BGD9,IF4B_MOUSE,Eukaryotic translation initiation factor 4B,32431,32407,No,-0.06,0.852339,0.999933
Eif4g1,EIF4G1,Q6NZJ6,IF4G1_MOUSE,Eukaryotic translation initiation factor 4 gamma 1,13681,13751,No,0.01,0.956366,0.999933
Eif4g2,EIF4G2,Q62448,IF4G2_MOUSE,Eukaryotic translation initiation factor 4 gamma 2,10372,9643,No,0.11,0.618806,0.999933
Eif4g3,EIF4G3,Q80XI3,IF4G3_MOUSE,Eukaryotic translation initiation factor 4 gamma 3,11245,9386,No,0.21,0.444210,0.999933
Eif4h,EIF4H,Q9WUK2,IF4H_MOUSE,Eukaryotic translation initiation factor 4H,15424,12119,No,0.59,0.169352,0.999933
Eif5,EIF5,P59325,IF5_MOUSE,Eukaryotic translation initiation factor 5,3857,9187,No,-0.78,0.168870,0.999933
Eif6,EIF6,O55135,IF6_MOUSE,Eukaryotic translation initiation factor 6,15171,13142,No,0.27,0.688479,0.999933
Elavl1,ELAVL1,P70372,ELAV1_MOUSE,ELAV-like protein 1,11213,10654,No,0.10,0.664730,0.999933
Elavl3,ELAVL3,Q60900,ELAV3_MOUSE,ELAV-like protein 3,9681,9222,No,0.19,0.569877,0.999933
Elavl4,ELAVL4,Q61701,ELAV4_MOUSE,ELAV-like protein 4,8817,8398,No,0.08,0.774852,0.999933
Elfn1,ELFN1,Q8C8T7,ELFN1_MOUSE,Protein ELFN1,14685,14840,No,0.04,0.878768,0.999933
Elfn2,ELFN2,Q68FM6,PPR29_MOUSE,Protein phosphatase 1 regulatory subunit 29,10466,11420,No,-0.11,0.674296,0.999933
Elmo2,ELMO2,Q8BHL5,ELMO2_MOUSE,Engulfment and cell motility protein 2,8912,7829,No,0.26,0.353280,0.999933
Elmod1,ELMOD1,Q3V1U8,ELMD1_MOUSE,ELMO domain-containing protein 1,8310,9355,No,-0.17,0.482392,0.999933
Elp1,NA,Q7TT37,ELP1_MOUSE,Elongator complex protein 1,8514,8258,No,0.01,0.964712,0.999933
Elp2,ELP2,Q91WG4,ELP2_MOUSE,Elongator complex protein 2,6173,5216,No,0.24,0.396514,0.999933
Elp4,ELP4,Q9ER73,ELP4_MOUSE,Elongator complex protein 4,13293,13439,No,-0.34,0.564651,0.999933
Emc1,EMC1,Q8C7X2,EMC1_MOUSE,ER membrane protein complex subunit 1,36538,36153,No,0.02,0.932285,0.999933
Emc3,EMC3,Q99KI3,EMC3_MOUSE,ER membrane protein complex subunit 3,7171,6085,No,0.31,0.318621,0.999933
Emc4,EMC4,Q9CZX9,EMC4_MOUSE,ER membrane protein complex subunit 4,6638,8279,No,-0.33,0.235973,0.999933
Emd,EMD,O08579,EMD_MOUSE,Emerin,8408,8479,No,-0.02,0.940411,0.999933
Eml1,EML1,Q05BC3,EMAL1_MOUSE,Echinoderm microtubule-associated protein-like 1,12141,13026,No,-0.09,0.688996,0.999933
Eml2,EML2,Q7TNG5,EMAL2_MOUSE,Echinoderm microtubule-associated protein-like 2,10985,10963,No,0.02,0.944734,0.999933
Enah,ENAH,Q03173,ENAH_MOUSE,Protein enabled homolog,29901,26700,No,0.23,0.438818,0.999933
Endod1,ENDOD1,Q8C522,ENDD1_MOUSE,Endonuclease domain-containing 1 protein,68599,71837,No,-0.07,0.799090,0.999933
Eno1,ENO1,P17182,ENOA_MOUSE,Alpha-enolase,63108,66023,No,0.01,0.982367,0.999933
Eno2,ENO2,P17183,ENOG_MOUSE,Gamma-enolase,23942,22029,No,0.39,0.581078,0.999933
Eno3,ENO3,P21550,ENOB_MOUSE,Beta-enolase,13340,19704,No,-0.64,0.209328,0.999933
Entpd2,ENTPD2,O55026,ENTP2_MOUSE,Ectonucleoside triphosphate diphosphohydrolase 2,7506,6079,No,0.36,0.460216,0.999933
Epb41,EPB41,P48193,EPB41_MOUSE,Protein 4.1,9038,7465,No,0.39,0.203313,0.999933
Epb41l1,EPB41L1,Q9Z2H5,E41L1_MOUSE,Band 4.1-like protein 1,69211,62217,No,0.18,0.429333,0.999933
Epb41l2,EPB41L2,O70318,E41L2_MOUSE,Band 4.1-like protein 2,106353,93952,No,0.19,0.451471,0.999933
Epb41l3,EPB41L3,Q9WV92,E41L3_MOUSE,Band 4.1-like protein 3,105700,96632,No,0.16,0.508312,0.999933
Epdr1,EPDR1,Q99M71,EPDR1_MOUSE,Mammalian ependymin-related protein 1,9244,6037,No,0.62,0.115623,0.999933
Epha4,EPHA4,Q03137,EPHA4_MOUSE,Ephrin type-A receptor 4,27820,24946,No,0.22,0.389865,0.999933
Epha5,EPHA5,Q60629,EPHA5_MOUSE,Ephrin type-A receptor 5,6937,6649,No,0.14,0.702305,0.999933
Epha7,EPHA7,Q61772,EPHA7_MOUSE,Ephrin type-A receptor 7,8608,7920,No,0.12,0.719665,0.999933
Ephb2,EPHB2,P54763,EPHB2_MOUSE,Ephrin type-B receptor 2,7977,6794,No,0.33,0.270702,0.999933
Ephb3,EPHB3,P54754,EPHB3_MOUSE,Ephrin type-B receptor 3,17609,14961,No,0.34,0.260550,0.999933
Ephb6,EPHB6,O08644,EPHB6_MOUSE,Ephrin type-B receptor 6,16691,17027,No,-0.03,0.898058,0.999933
Ephx1,EPHX1,Q9D379,HYEP_MOUSE,Epoxide hydrolase 1,6365,6544,No,-0.02,0.942127,0.999933
Ephx2,EPHX2,P34914,HYES_MOUSE,Bifunctional epoxide hydrolase 2,8279,6006,No,0.52,0.081532,0.999933
Epn2,EPN2,Q8CHU3,EPN2_MOUSE,Epsin-2,11103,7639,Up with LPS,0.60,0.046861,0.999933
Eprs1,NA,Q8CGC7,SYEP_MOUSE,Bifunctional glutamate/proline--tRNA ligase,8569,7998,No,0.04,0.907377,0.999933
Eps15,EPS15,P42567,EPS15_MOUSE,Epidermal growth factor receptor substrate 15,46859,40796,No,0.20,0.394238,0.999933
Eps15l1,EPS15L1,Q60902,EP15R_MOUSE,Epidermal growth factor receptor substrate 15-like 1,37881,35289,No,0.10,0.675329,0.999933
Eps8,EPS8,Q08509,EPS8_MOUSE,Epidermal growth factor receptor kinase substrate 8,5158,4947,No,0.10,0.695858,0.999933
Erap1,ERAP1,Q9EQH2,ERAP1_MOUSE,Endoplasmic reticulum aminopeptidase 1,4811,4970,No,0.00,0.998621,0.999933
Erbb2,ERBB2,P70424,ERBB2_MOUSE,Receptor tyrosine-protein kinase erbB-2,13765,11805,No,0.42,0.408526,0.999933
Erbb4,ERBB4,Q61527,ERBB4_MOUSE,Receptor tyrosine-protein kinase erbB-4,8302,8071,No,0.09,0.760554,0.999933
Erbin,ERBIN,Q80TH2,ERBIN_MOUSE,Erbin,28637,25747,No,0.17,0.523427,0.999933
Erc2,ERC2,Q6PH08,ERC2_MOUSE,ERC protein 2,8015,8277,No,-0.02,0.957301,0.999933
Ergic1,ERGIC1,Q9DC16,ERGI1_MOUSE,Endoplasmic reticulum-Golgi intermediate compartment protein 1,6830,6019,No,0.17,0.502336,0.999933
Ergic2,ERGIC2,Q9CR89,ERGI2_MOUSE,Endoplasmic reticulum-Golgi intermediate compartment protein 2,8669,8542,No,0.12,0.670990,0.999933
Erlin2,ERLIN2,Q8BFZ9,ERLN2_MOUSE,Erlin-2,19861,16786,No,0.27,0.264719,0.999933
Ermp1,ERMP1,Q3UVK0,ERMP1_MOUSE,Endoplasmic reticulum metallopeptidase 1,29184,25862,No,0.19,0.382560,0.999933
Esyt1,ESYT1,Q3U7R1,ESYT1_MOUSE,Extended synaptotagmin-1,28744,26697,No,0.06,0.829425,0.999933
Esyt2,ESYT2,Q3TZZ7,ESYT2_MOUSE,Extended synaptotagmin-2,24475,22612,No,0.10,0.702051,0.999933
Etf1,ETF1,Q8BWY3,ERF1_MOUSE,Eukaryotic peptide chain release factor subunit 1,5291,5571,No,-0.25,0.509990,0.999933
Etfa,ETFA,Q99LC5,ETFA_MOUSE,"Electron transfer flavoprotein subunit alpha, mitochondrial",11100,11645,No,-0.05,0.888589,0.999933
Etfb,ETFB,Q9DCW4,ETFB_MOUSE,Electron transfer flavoprotein subunit beta,10073,10454,No,-0.04,0.834697,0.999933
Etfdh,ETFDH,Q921G7,ETFD_MOUSE,"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial",27226,22993,No,0.32,0.318106,0.999933
Eva1a,EVA1A,Q91WM6,EVA1A_MOUSE,Protein eva-1 homolog A,20391,20819,No,0.13,0.831648,0.999933
Evpl,EVPL,Q9D952,EVPL_MOUSE,Envoplakin,21058,16006,No,0.47,0.423875,0.999933
Exoc3,EXOC3,Q6KAR6,EXOC3_MOUSE,Exocyst complex component 3,5578,7163,No,-0.35,0.310113,0.999933
Exoc4,EXOC4,O35382,EXOC4_MOUSE,Exocyst complex component 4,10787,10802,No,0.04,0.881055,0.999933
Exog,EXOG,Q8C163,EXOG_MOUSE,"Nuclease EXOG, mitochondrial",5584,3755,No,0.62,0.143471,0.999933
Ezr,EZR,P26040,EZRI_MOUSE,Ezrin,63059,56291,No,0.21,0.390412,0.999933
F13a1,F13A1,Q8BH61,F13A_MOUSE,Coagulation factor XIII A chain,6156,5445,No,0.08,0.853412,0.999933
Faah,FAAH,O08914,FAAH1_MOUSE,Fatty-acid amide hydrolase 1,4207,5402,No,-0.33,0.456231,0.999933
Fabp3,FABP3,P05413,FABPH_HUMAN,"Fatty acid-binding protein, heart",11240,12562,No,0.03,0.953907,0.999933
Fabp5,FABP5,Q05816,FABP5_MOUSE,Fatty acid-binding protein 5,77441,64381,No,0.06,0.935639,0.999933
Fads1,FADS1,Q920L1,FADS1_MOUSE,Acyl-CoA (8-3)-desaturase,84980,72205,No,0.24,0.238567,0.999933
Fads2,FADS2,Q9Z0R9,FADS2_MOUSE,Acyl-CoA 6-desaturase,21316,20004,No,0.11,0.656107,0.999933
Fads3,FADS3,Q9JJE7,FADS3_MOUSE,Fatty acid desaturase 3,6179,5077,No,0.29,0.247085,0.999933
Faf2,FAF2,Q3TDN2,FAF2_MOUSE,FAS-associated factor 2,13449,11945,No,0.23,0.418096,0.999933
Fahd2,NA,Q3TC72,FAHD2_MOUSE,Fumarylacetoacetate hydrolase domain-containing protein 2A,5015,5435,No,-0.09,0.789835,0.999933
Faim2,FAIM2,Q8K097,LFG2_MOUSE,Protein lifeguard 2,5626,6893,No,-0.52,0.226739,0.999933
Fam107a,FAM107A,Q78TU8,F107A_MOUSE,Actin-associated protein FAM107A,9291,7914,No,0.21,0.582359,0.999933
Fam110b,FAM110B,Q8C739,F110B_MOUSE,Protein FAM110B,7944,9335,No,-0.24,0.435509,0.999933
FAM120A,NA,Q6A0A9,F120A_MOUSE,Constitutive coactivator of PPAR-gamma-like protein 1,16698,15230,No,0.13,0.573761,0.999933
Fam120c,FAM120C,Q8C3F2,F120C_MOUSE,Constitutive coactivator of PPAR-gamma-like protein 2,9060,7179,No,0.38,0.135710,0.999933
Fam126b,FAM126B,Q8C729,F126B_MOUSE,Protein FAM126B,9764,9540,No,0.05,0.815897,0.999933
Fam162a,FAM162A,Q9D6U8,F162A_MOUSE,Protein FAM162A,4310,5089,No,-0.15,0.688757,0.999933
Fam171a2,FAM171A2,A2A699,F1712_MOUSE,Protein FAM171A2,20090,18509,No,0.17,0.582863,0.999933
Fam171b,FAM171B,Q14CH0,F171B_MOUSE,Protein FAM171B,25755,25067,No,0.05,0.849451,0.999933
Fam177a1,NA,Q8BR63,F177A_MOUSE,Protein FAM177A1,4718,5035,No,-0.07,0.800574,0.999933
Fam210a,FAM210A,Q8BGY7,F210A_MOUSE,Protein FAM210A,14834,12654,No,0.25,0.470562,0.999933
Fam234b,FAM234B,Q8BYI8,F234B_MOUSE,Protein FAM234B,9098,10991,No,-0.34,0.222933,0.999933
Far1,FAR1,Q922J9,FACR1_MOUSE,Fatty acyl-CoA reductase 1,9998,6996,Up with LPS,0.55,0.033693,0.999933
Farp1,FARP1,F8VPU2,FARP1_MOUSE,"FERM, ARHGEF and pleckstrin domain-containing protein 1",188235,152890,No,0.29,0.212126,0.999933
Farp2,FARP2,Q91VS8,FARP2_MOUSE,"FERM, ARHGEF and pleckstrin domain-containing protein 2",13642,11057,No,0.38,0.221040,0.999933
Farsb,FARSB,Q9WUA2,SYFB_MOUSE,Phenylalanine--tRNA ligase beta subunit,2917,7254,No,-1.01,0.068193,0.999933
Fasn,FASN,P19096,FAS_MOUSE,Fatty acid synthase,32079,29008,No,0.15,0.481679,0.999933
Fat3,FAT3,Q8BNA6,FAT3_MOUSE,Protocadherin Fat 3,13586,11236,No,0.32,0.375440,0.999933
Fau,FAU,P62862,RS30_MOUSE,40S ribosomal protein S30,19346,22820,No,-0.24,0.492048,0.999933
Fbl,FBL,P35550,FBRL_MOUSE,rRNA 2'-O-methyltransferase fibrillarin,12115,12246,No,0.00,0.987867,0.999933
Fbln5,FBLN5,Q9WVH9,FBLN5_MOUSE,Fibulin-5,9281,9340,No,-0.14,0.739794,0.999933
Fbxl16,FBXL16,A2RT62,FXL16_MOUSE,F-box/LRR-repeat protein 16,7446,8361,No,-0.13,0.764290,0.999933
Fbxo16,FBXO16,Q9QZM9,FBX16_MOUSE,F-box only protein 16,33426,28261,No,0.27,0.316208,0.999933
Fbxo41,FBXO41,Q6NS60,FBX41_MOUSE,F-box only protein 41,6673,6369,No,0.06,0.853971,0.999933
Fbxo6,FBXO6,Q9QZN4,FBX6_MOUSE,F-box only protein 6,8666,7687,No,0.31,0.424349,0.999933
Fbxw11,FBXW11,Q5SRY7,FBW1B_MOUSE,F-box/WD repeat-containing protein 11,3457,4016,No,-0.22,0.487985,0.999933
Fcho2,FCHO2,Q3UQN2,FCHO2_MOUSE,F-BAR domain only protein 2,3823,4284,No,-0.17,0.595950,0.999933
Fermt2,FERMT2,Q8CIB5,FERM2_MOUSE,Fermitin family homolog 2,40675,36351,No,0.22,0.397142,0.999933
Fga,FGA,E9PV24,FIBA_MOUSE,Fibrinogen alpha chain,5747,5262,No,0.37,0.422276,0.999933
Fgb,FGB,Q8K0E8,FIBB_MOUSE,Fibrinogen beta chain,6698,7527,No,-0.03,0.953500,0.999933
Fgd6,FGD6,Q69ZL1,FGD6_MOUSE,"FYVE, RhoGEF and PH domain-containing protein 6",2057,4904,Down with LPS,-1.10,0.016429,0.999933
Fgfr3,FGFR3,Q61851,FGFR3_MOUSE,Fibroblast growth factor receptor 3,7081,8242,No,-0.25,0.361023,0.999933
Fh,NA,P97807,FUMH_MOUSE,"Fumarate hydratase, mitochondrial",20836,25348,No,-0.24,0.338957,0.999933
Fis1,FIS1,Q9CQ92,FIS1_MOUSE,Mitochondrial fission 1 protein,4579,6202,No,-0.47,0.190837,0.999933
Fkbp15,FKBP15,Q6P9Q6,FKB15_MOUSE,FK506-binding protein 15,11466,12158,No,-0.09,0.710631,0.999933
Fkbp8,FKBP8,O35465,FKBP8_MOUSE,Peptidyl-prolyl cis-trans isomerase FKBP8,13626,12279,No,0.19,0.504974,0.999933
Flii,FLII,Q9JJ28,FLII_MOUSE,Protein flightless-1 homolog,10189,9298,No,0.14,0.582384,0.999933
Flna,FLNA,Q8BTM8,FLNA_MOUSE,Filamin-A,16999,16531,No,0.04,0.867141,0.999933
Flnb,FLNB,Q80X90,FLNB_MOUSE,Filamin-B,9751,7061,No,0.34,0.339947,0.999933
Flot1,FLOT1,O08917,FLOT1_MOUSE,Flotillin-1,19613,14623,No,0.45,0.134067,0.999933
Flot2,FLOT2,Q60634,FLOT2_MOUSE,Flotillin-2,58436,46161,No,0.37,0.122003,0.999933
Flrt2,FLRT2,Q8BLU0,FLRT2_MOUSE,Leucine-rich repeat transmembrane protein FLRT2,4890,5784,No,-0.14,0.699020,0.999933
Fmn2,FMN2,Q9JL04,FMN2_MOUSE,Formin-2,32998,36155,No,-0.11,0.580535,0.999933
Fmnl2,FMNL2,A2APV2,FMNL2_MOUSE,Formin-like protein 2,15492,13876,No,0.15,0.520672,0.999933
Fmo1,FMO1,P50285,FMO1_MOUSE,Dimethylaniline monooxygenase [N-oxide-forming] 1,23313,18407,No,0.25,0.503752,0.999933
Fmo2,FMO2,Q8K2I3,FMO2_MOUSE,Dimethylaniline monooxygenase [N-oxide-forming] 2,12712,8772,No,0.52,0.090637,0.999933
Fmo5,FMO5,P97872,FMO5_MOUSE,Flavin-containing monooxygenase 5,3435,2743,No,0.44,0.233535,0.999933
Fmr1,FMR1,P35922,FMR1_MOUSE,Synaptic functional regulator FMR1,8205,8835,No,-0.10,0.714186,0.999933
Fn3krp,FN3KRP,Q8K274,KT3K_MOUSE,Ketosamine-3-kinase,6835,5645,No,0.33,0.343009,0.999933
Folh1,FOLH1,O35409,FOLH1_MOUSE,Glutamate carboxypeptidase 2,8099,9786,No,-0.23,0.391004,0.999933
Frrs1l,FRRS1L,B1AXV0,FRS1L_MOUSE,DOMON domain-containing protein FRRS1L,3403,4353,No,-0.30,0.366249,0.999933
Frs3,FRS3,Q91WJ0,FRS3_MOUSE,Fibroblast growth factor receptor substrate 3,6447,7471,No,-0.13,0.701870,0.999933
Fry,FRY,E9Q8I9,FRY_MOUSE,Protein furry homolog,16254,14570,No,0.13,0.559115,0.999933
Fscn1,FSCN1,Q61553,FSCN1_MOUSE,Fascin,22006,20681,No,0.10,0.748083,0.999933
Fth1,FTH1,P09528,FRIH_MOUSE,Ferritin heavy chain,6378,4369,No,0.60,0.077177,0.999933
Fundc2,FUNDC2,Q9D6K8,FUND2_MOUSE,FUN14 domain-containing protein 2,42080,40183,No,0.08,0.759923,0.999933
Fus,FUS,P56959,FUS_MOUSE,RNA-binding protein FUS,10072,10767,No,-0.18,0.541254,0.999933
Fxr1,FXR1,Q61584,FXR1_MOUSE,Fragile X mental retardation syndrome-related protein 1,29333,24982,No,0.19,0.492319,0.999933
Fzd2,FZD2,Q9JIP6,FZD2_MOUSE,Frizzled-2,10702,10206,No,0.15,0.579856,0.999933
G3bp2,G3BP2,P97379,G3BP2_MOUSE,Ras GTPase-activating protein-binding protein 2,5824,4718,No,0.34,0.419710,0.999933
G6pdx,G6PD,Q00612,G6PD1_MOUSE,Glucose-6-phosphate 1-dehydrogenase X,7873,12018,No,-0.43,0.199974,0.999933
Gabbr1,GABBR1,Q9WV18,GABR1_MOUSE,Gamma-aminobutyric acid type B receptor subunit 1,123012,111215,No,0.17,0.428634,0.999933
Gabbr2,GABBR2,Q80T41,GABR2_MOUSE,Gamma-aminobutyric acid type B receptor subunit 2,46287,44213,No,0.06,0.800552,0.999933
Gabra1,GABRA1,P62812,GBRA1_MOUSE,Gamma-aminobutyric acid receptor subunit alpha-1,283308,264490,No,0.10,0.646718,0.999933
Gabra2,GABRA2,P26048,GBRA2_MOUSE,Gamma-aminobutyric acid receptor subunit alpha-2,10187,9373,No,0.15,0.556316,0.999933
Gabra3,GABRA3,P26049,GBRA3_MOUSE,Gamma-aminobutyric acid receptor subunit alpha-3,40432,37590,No,0.10,0.658808,0.999933
Gabra4,GABRA4,Q9D6F4,GBRA4_MOUSE,Gamma-aminobutyric acid receptor subunit alpha-4,29848,27727,No,0.11,0.592325,0.999933
Gabra5,GABRA5,Q8BHJ7,GBRA5_MOUSE,Gamma-aminobutyric acid receptor subunit alpha-5,11275,13502,No,-0.29,0.455851,0.999933
Gabrb1,GABRB1,P50571,GBRB1_MOUSE,Gamma-aminobutyric acid receptor subunit beta-1,18452,17129,No,0.22,0.480886,0.999933
Gabrb2,GABRB2,P63137,GBRB2_MOUSE,Gamma-aminobutyric acid receptor subunit beta-2,54536,57475,No,-0.10,0.691657,0.999933
Gabrb3,GABRB3,P63080,GBRB3_MOUSE,Gamma-aminobutyric acid receptor subunit beta-3,28837,24445,No,0.25,0.453508,0.999933
Gabrd,GABRD,P22933,GBRD_MOUSE,Gamma-aminobutyric acid receptor subunit delta,12744,11416,No,0.20,0.417387,0.999933
Gabrg2,GABRG2,P22723,GBRG2_MOUSE,Gamma-aminobutyric acid receptor subunit gamma-2,49762,48797,No,0.02,0.927198,0.999933
Gad1,GAD1,P48318,DCE1_MOUSE,Glutamate decarboxylase 1,8064,8179,No,-0.01,0.989303,0.999933
Gad2,GAD2,P48320,DCE2_MOUSE,Glutamate decarboxylase 2,8978,8380,No,-0.01,0.982099,0.999933
Gak,GAK,Q99KY4,GAK_MOUSE,Cyclin-G-associated kinase,29377,29331,No,-0.01,0.973787,0.999933
Ganab,GANAB,Q8BHN3,GANAB_MOUSE,Neutral alpha-glucosidase AB,11224,9616,No,0.27,0.369661,0.999933
Gap43,GAP43,P06837,NEUM_MOUSE,Neuromodulin,7858,7395,No,0.09,0.685611,0.999933
Gapdh,GAPDH,P16858,G3P_MOUSE,Glyceraldehyde-3-phosphate dehydrogenase,309110,354624,No,-0.12,0.715983,0.999933
Gapvd1,GAPVD1,Q6PAR5,GAPD1_MOUSE,GTPase-activating protein and VPS9 domain-containing protein 1,10628,8648,No,0.35,0.227127,0.999933
Gart,GART,Q64737,PUR2_MOUSE,Trifunctional purine biosynthetic protein adenosine-3,4847,8696,Down with LPS,-0.90,0.040520,0.999933
Gatd3a,NA,Q9D172,GAL3A_MOUSE,"Glutamine amidotransferase-like class 1 domain-containing protein 3A, mitochondrial",29714,34846,No,-0.23,0.337999,0.999933
Gba2,GBA2,Q69ZF3,GBA2_MOUSE,Non-lysosomal glucosylceramidase,11324,11396,No,0.01,0.972120,0.999933
Gbp5,GBP5,Q8CFB4,GBP5_MOUSE,Guanylate-binding protein 5,155687,127034,No,0.31,0.290211,0.999933
Gcc2,GCC2,Q8CHG3,GCC2_MOUSE,GRIP and coiled-coil domain-containing protein 2,42676,34440,No,0.24,0.652923,0.999933
Gcdh,GCDH,Q60759,GCDH_MOUSE,"Glutaryl-CoA dehydrogenase, mitochondrial",8402,16681,No,-0.51,0.358070,0.999933
Gcn1,NA,E9PVA8,GCN1_MOUSE,eIF-2-alpha kinase activator GCN1,4136,3495,No,0.13,0.801391,0.999933
Gda,GDA,Q9R111,GUAD_MOUSE,Guanine deaminase,10025,10177,No,-0.17,0.693997,0.999933
Gdap1,GDAP1,O88741,GDAP1_MOUSE,Ganglioside-induced differentiation-associated protein 1,27631,30890,No,-0.12,0.703279,0.999933
Gdap1l1,GDAP1L1,Q8VE33,GD1L1_MOUSE,Ganglioside-induced differentiation-associated protein 1-like 1,14075,17408,No,-0.28,0.383479,0.999933
Gde1,GDE1,Q9JL56,GDE1_MOUSE,Glycerophosphodiester phosphodiesterase 1,15960,14832,No,0.25,0.425822,0.999933
Gdi1,GDI1,P50396,GDIA_MOUSE,Rab GDP dissociation inhibitor alpha,62621,65092,No,0.02,0.944421,0.999933
Gdi2,GDI2,Q61598,GDIB_MOUSE,Rab GDP dissociation inhibitor beta,23443,21166,No,0.15,0.645692,0.999933
Gdpd1,GDPD1,Q9CRY7,GDPD1_MOUSE,Lysophospholipase D GDPD1,22386,22837,No,-0.01,0.964017,0.999933
